sv_name	sv_species_name	trait	pvalue
ann14.01	annuus_ann14.01	Ligule_length	0.256
ann14.02	annuus_ann14.02	Ligule_length	0.435
ann15.01	annuus_ann15.01	Ligule_length	0.361
ann16.01	annuus_ann16.01	Ligule_length	0.934
ann16.02	annuus_ann16.02	Ligule_length	0.752
ann17.01	annuus_ann17.01	Ligule_length	0.321
ann01.01	annuus_ann01.01	Ligule_LW_ratio	0.622
ann05.01	annuus_ann05.01	Ligule_LW_ratio	0.464
ann11.01	annuus_ann11.01	Ligule_LW_ratio	0.239
ann13.01	annuus_ann13.01	Ligule_LW_ratio	0.433
ann13.02	annuus_ann13.02	Ligule_LW_ratio	0.71
ann14.01	annuus_ann14.01	Ligule_LW_ratio	0.435
ann14.02	annuus_ann14.02	Ligule_LW_ratio	0.0479
ann15.01	annuus_ann15.01	Ligule_LW_ratio	0.156
ann16.01	annuus_ann16.01	Ligule_LW_ratio	0.729
ann16.02	annuus_ann16.02	Ligule_LW_ratio	0.699
ann17.01	annuus_ann17.01	Ligule_LW_ratio	0.425
ann01.01	annuus_ann01.01	Ligule_width	0.83
ann05.01	annuus_ann05.01	Ligule_width	0.0063
ann11.01	annuus_ann11.01	Ligule_width	0.489
ann13.01	annuus_ann13.01	Ligule_width	0.221
ann13.02	annuus_ann13.02	Ligule_width	0.36
ann14.01	annuus_ann14.01	Ligule_width	0.6
ann14.02	annuus_ann14.02	Ligule_width	0.257
ann15.01	annuus_ann15.01	Ligule_width	0.622
ann16.01	annuus_ann16.01	Ligule_width	0.926
ann16.02	annuus_ann16.02	Ligule_width	0.708
ann17.01	annuus_ann17.01	Ligule_width	0.138
ann01.01	annuus_ann01.01	Ligules_number	0.253
ann05.01	annuus_ann05.01	Ligules_number	0.857
ann11.01	annuus_ann11.01	Ligules_number	0.469
ann13.01	annuus_ann13.01	Ligules_number	0.0753
ann13.02	annuus_ann13.02	Ligules_number	0.454
ann14.01	annuus_ann14.01	Ligules_number	0.5
ann14.02	annuus_ann14.02	Ligules_number	0.415
ann15.01	annuus_ann15.01	Ligules_number	0.21
ann16.01	annuus_ann16.01	Ligules_number	0.329
ann16.02	annuus_ann16.02	Ligules_number	0.241
ann17.01	annuus_ann17.01	Ligules_number	0.576
ann01.01	annuus_ann01.01	LIR	0.792
ann05.01	annuus_ann05.01	LIR	0.561
ann11.01	annuus_ann11.01	LIR	0.633
ann13.01	annuus_ann13.01	LIR	1.69e-4
ann13.02	annuus_ann13.02	LIR	0.17
ann14.01	annuus_ann14.01	LIR	0.491
ann14.02	annuus_ann14.02	LIR	0.881
ann15.01	annuus_ann15.01	LIR	0.0289
ann16.01	annuus_ann16.01	LIR	0.444
ann16.02	annuus_ann16.02	LIR	0.447
ann17.01	annuus_ann17.01	LIR	0.473
ann01.01	annuus_ann01.01	Petiole_main_veins_colour	0.841
ann05.01	annuus_ann05.01	Petiole_main_veins_colour	0.972
ann11.01	annuus_ann11.01	Petiole_main_veins_colour	0.442
ann13.01	annuus_ann13.01	Petiole_main_veins_colour	0.207
ann13.02	annuus_ann13.02	Petiole_main_veins_colour	0.719
ann14.01	annuus_ann14.01	Petiole_main_veins_colour	0.00453
ann14.02	annuus_ann14.02	Petiole_main_veins_colour	0.0134
ann15.01	annuus_ann15.01	Petiole_main_veins_colour	0.678
ann16.01	annuus_ann16.01	Petiole_main_veins_colour	0.158
ann16.02	annuus_ann16.02	Petiole_main_veins_colour	0.00889
ann17.01	annuus_ann17.01	Petiole_main_veins_colour	0.566
ann01.01	annuus_ann01.01	Phyllaries_diameter	0.875
