bam	gvcf	name	species	population	is_wild	project
/project/rpp-rbruskie/jslegare/bam/merged/merged_HK24_16_01_W_071.bam	/scratch/jslegare/data/gwas/variants/HK24_16_01_W_071.bam.g.vcf.gz	HK24_16_01_W_071	Ano	SRD	wild	Hyb_species
/project/rpp-rbruskie/jslegare/bam/merged/merged_HK24_16_01_W_079.bam	/scratch/jslegare/data/gwas/variants/HK24_16_01_W_079.bam.g.vcf.gz	HK24_16_01_W_079	Ano	SRD	wild	Hyb_species
/project/rpp-rbruskie/jslegare/bam/merged/merged_HK24_16_01_W_093.bam	/scratch/jslegare/data/gwas/variants/HK24_16_01_W_093.bam.g.vcf.gz	HK24_16_01_W_093	Ano	SRD	wild	Hyb_species
/project/rpp-rbruskie/jslegare/bam/merged/merged_NHKG_16_01_R_215.bam	/scratch/jslegare/data/gwas/variants/NHKG_16_01_R_215.bam.g.vcf.gz	NHKG_16_01_R_215	Ano	SRD	wild	Hyb_species
/project/rpp-rbruskie/jslegare/bam/merged/merged_NHKG_16_01_W_139.bam	/scratch/jslegare/data/gwas/variants/NHKG_16_01_W_139.bam.g.vcf.gz	NHKG_16_01_W_139	Ano	SRD	wild	Hyb_species
/project/rpp-rbruskie/jslegare/bam/merged/merged_NHKG_16_01_W_141.bam	/scratch/jslegare/data/gwas/variants/NHKG_16_01_W_141.bam.g.vcf.gz	NHKG_16_01_W_141	Ano	SRD	wild	Hyb_species
/project/rpp-rbruskie/jslegare/bam/merged/merged_NHKG_16_01_W_142.bam	/scratch/jslegare/data/gwas/variants/NHKG_16_01_W_142.bam.g.vcf.gz	NHKG_16_01_W_142	Ano	SRD	wild	Hyb_species
/project/rpp-rbruskie/jslegare/bam/merged/merged_NHKG_16_01_W_214.bam	/scratch/jslegare/data/gwas/variants/NHKG_16_01_W_214.bam.g.vcf.gz	NHKG_16_01_W_214	Ano	SRD	wild	Hyb_species
/project/rpp-rbruskie/jslegare/bam/merged/merged_NHKG_16_01_W_217.bam	/scratch/jslegare/data/gwas/variants/NHKG_16_01_W_217.bam.g.vcf.gz	NHKG_16_01_W_217	Ano	SRD	wild	Hyb_species
/project/rpp-rbruskie/jslegare/bam/merged/merged_NHKG_16_01_W_222.bam	/scratch/jslegare/data/gwas/variants/NHKG_16_01_W_222.bam.g.vcf.gz	NHKG_16_01_W_222	Ano	SRD	wild	Hyb_species
/project/rpp-rbruskie/jslegare/bam/merged/merged_NHKG_16_01_W_230.bam	/scratch/jslegare/data/gwas/variants/NHKG_16_01_W_230.bam.g.vcf.gz	NHKG_16_01_W_230	Ano	SRD	wild	Hyb_species
/project/rpp-rbruskie/jslegare/bam/merged/merged_PET0302.bam	/scratch/jslegare/data/gwas/variants/PET0302.bam.g.vcf.gz	PET0302	Pet	PET_01	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_PET0305.bam	/scratch/jslegare/data/gwas/variants/PET0305.bam.g.vcf.gz	PET0305	Pet	PET_01	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_PET0306.bam	/scratch/jslegare/data/gwas/variants/PET0306.bam.g.vcf.gz	PET0306	Pet	PET_01	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_PET0311.bam	/scratch/jslegare/data/gwas/variants/PET0311.bam.g.vcf.gz	PET0311	Pet	PET_02	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_PET0316.bam	/scratch/jslegare/data/gwas/variants/PET0316.bam.g.vcf.gz	PET0316	Pet	PET_02	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_PET0322.bam	/scratch/jslegare/data/gwas/variants/PET0322.bam.g.vcf.gz	PET0322	Pet	PET_03	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_PET0329.bam	/scratch/jslegare/data/gwas/variants/PET0329.bam.g.vcf.gz	PET0329	Pet	PET_03	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_PET0333.bam	/scratch/jslegare/data/gwas/variants/PET0333.bam.g.vcf.gz	PET0333	Pet	PET_04	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_PET0334.bam	/scratch/jslegare/data/gwas/variants/PET0334.bam.g.vcf.gz	PET0334	Pet	PET_04	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_PET0343.bam	/scratch/jslegare/data/gwas/variants/PET0343.bam.g.vcf.gz	PET0343	Pet	PET_05	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_PET0358.bam	/scratch/jslegare/data/gwas/variants/PET0358.bam.g.vcf.gz	PET0358	Pet	PET_06	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_PET0359.bam	/scratch/jslegare/data/gwas/variants/PET0359.bam.g.vcf.gz	PET0359	Pet	PET_06	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_PET0368.bam	/scratch/jslegare/data/gwas/variants/PET0368.bam.g.vcf.gz	PET0368	Pet	PET_07	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_PET0369.bam	/scratch/jslegare/data/gwas/variants/PET0369.bam.g.vcf.gz	PET0369	Pet	PET_07	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_PET0375.bam	/scratch/jslegare/data/gwas/variants/PET0375.bam.g.vcf.gz	PET0375	Pet	PET_08	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_PET0378.bam	/scratch/jslegare/data/gwas/variants/PET0378.bam.g.vcf.gz	PET0378	Pet	PET_08	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_PET0381.bam	/scratch/jslegare/data/gwas/variants/PET0381.bam.g.vcf.gz	PET0381	Pet	PET_09	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_PET0383.bam	/scratch/jslegare/data/gwas/variants/PET0383.bam.g.vcf.gz	PET0383	Pet	PET_09	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_PET0384.bam	/scratch/jslegare/data/gwas/variants/PET0384.bam.g.vcf.gz	PET0384	Pet	PET_09	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_PET0393.bam	/scratch/jslegare/data/gwas/variants/PET0393.bam.g.vcf.gz	PET0393	Pet	PET_10	wild	wild_gwas
/project/rpp-rbruskie/jslegare/bam/merged/merged_PET0394.bam	/scratch/jslegare/data/gwas/variants/PET0394.bam.g.vcf.gz	PET0394	Pet	PET_10	wild	wild_gwas
