name	region	color
ARG0145	10a	#FF7F00
ARG0146	10a	#984EA3
ARG0147	10a	#FF7F00
ARG0148	10a	#FFFF33
ARG0149	10a	#FFFF33
ARG0150	10a	#FFFF33
ARG0151	10a	#FF7F00
ARG0152	10a	#984EA3
ARG0153	10a	#FF7F00
ARG0154	10a	#FF7F00
ARG0155	10a	#984EA3
ARG0156	10a	#984EA3
ARG0157	10a	#984EA3
ARG0158	10a	#984EA3
ARG0159	10a	#984EA3
ARG0160	10a	#984EA3
ARG0161	10a	#FFFF33
ARG0162	10a	#FF7F00
ARG0163	10a	#FFFF33
ARG0164	10a	#FFFF33
ARG0166	10a	#FFFF33
ARG0167	10a	#FFFF33
ARG0168	10a	#FFFF33
ARG0169	10a	#FF7F00
ARG0170	10a	#FFFF33
ARG0171	10a	#984EA3
ARG0172	10a	#984EA3
ARG0173	10a	#984EA3
ARG0174	10a	#FF7F00
ARG0175	10a	#FFFF33
ARG0176	10a	#984EA3
ARG0177	10a	#984EA3
ARG0178	10a	#984EA3
ARG0179	10a	#984EA3
ARG0180	10a	#984EA3
ARG0181	10a	#984EA3
ARG0182	10a	#FF7F00
ARG0183	10a	#984EA3
ARG0184	10a	#FF7F00
ARG0185	10a	#FF7F00
ARG0186	10a	#984EA3
ARG0187	10a	#984EA3
ARG0188	10a	#984EA3
ARG0189	10a	#984EA3
ARG0190	10a	#984EA3
ARG0191	10a	#FFFF33
ARG0192	10a	#FFFF33
ARG0193N	10a	#FFFF33
ARG0194	10a	#FFFF33
ARG0195	10a	#FF7F00
ARG0196	10a	#984EA3
ARG0197	10a	#984EA3
ARG0198	10a	#FF7F00
ARG0199	10a	#984EA3
ARG0200	10a	#FF7F00
ARG0201	10a	#FFFF33
ARG0202	10a	#FFFF33
ARG0203	10a	#FFFF33
ARG0204	10a	#FFFF33
ARG0205	10a	#FFFF33
ARG0206	10a	#FFFF33
ARG0207	10a	#FFFF33
ARG0208	10a	#FFFF33
ARG0209	10a	#FFFF33
ARG0210	10a	#FFFF33
ARG0211	10a	#FFFF33
ARG0212	10a	#FFFF33
ARG0213	10a	#FFFF33
ARG0214	10a	#FFFF33
ARG0215	10a	#FFFF33
ARG0216	10a	#FFFF33
ARG0217	10a	#FFFF33
ARG0218	10a	#FFFF33
ARG0219	10a	#FFFF33
ARG0220	10a	#FFFF33
ARG0221	10a	#FFFF33
ARG0222	10a	#FFFF33
ARG0223	10a	#FFFF33
ARG0224	10a	#FFFF33
ARG0225N	10a	#FFFF33
ARG0226N	10a	#FFFF33
ARG0227	10a	#FFFF33
ARG0228	10a	#FFFF33
ARG0229	10a	#FFFF33
ARG0230N	10a	#FFFF33
ARG0231	10a	#FFFF33
ARG0232	10a	#FFFF33
ARG0233	10a	#FFFF33
ARG0234	10a	#FFFF33
ARG0235	10a	#FFFF33
ARG0236	10a	#FFFF33
ARG0237	10a	#FFFF33
ARG0238	10a	#FFFF33
ARG0239	10a	#FFFF33
ARG0240	10a	#FFFF33
ARG0241	10a	#FFFF33
ARG0242	10a	#FFFF33
ARG0243	10a	#FFFF33
ARG0244	10a	#FFFF33
ARG0245	10a	#FFFF33
ARG0246	10a	#FFFF33
ARG0247	10a	#FFFF33
ARG0248	10a	#FFFF33
ARG0249	10a	#FFFF33
ARG0250	10a	#FFFF33
ARG0251	10a	#FFFF33
ARG0252	10a	#FFFF33
ARG0253	10a	#FFFF33
ARG0254	10a	#FFFF33
ARG0255	10a	#FFFF33
ARG0256	10a	#FFFF33
ARG0257	10a	#FFFF33
ARG0258	10a	#FFFF33
ARG0259	10a	#FFFF33
ARG0260	10a	#FFFF33
ARG0261	10a	#FFFF33
ARG0262	10a	#FFFF33
ARG0263	10a	#FFFF33
ARG0264	10a	#FFFF33
ARG0265	10a	#FFFF33
ARG0266N	10a	#FFFF33
ARG0267N	10a	#FFFF33
ARG0268	10a	#FFFF33
