name	region	color
PET0509	9a	#4DAF4A
PET0510	9a	#4DAF4A
PET0511	9a	#377EB8
PET0512	9a	#377EB8
PET0513	9a	#4DAF4A
PET0514	9a	#377EB8
PET0515	9a	#4DAF4A
PET0516	9a	#377EB8
PET0517	9a	#4DAF4A
PET0518	9a	#377EB8
PET0519	9a	#E41A1C
PET0520	9a	#4DAF4A
PET0521	9a	#377EB8
PET0522	9a	#377EB8
PET0523	9a	#377EB8
PET0524	9a	#E41A1C
PET0526	9a	#377EB8
PET0527	9a	#377EB8
PET0528	9a	#4DAF4A
PET0529	9a	#377EB8
PET0530	9a	#4DAF4A
PET0531	9a	#377EB8
PET0532	9a	#4DAF4A
PET0534N	9a	#4DAF4A
PET0535	9a	#377EB8
PET0536	9a	#4DAF4A
PET0537	9a	#4DAF4A
PET0539	9a	#E41A1C
PET0540	9a	#4DAF4A
PET0541N	9a	#4DAF4A
PET0542N	9a	#4DAF4A
PET0543	9a	#377EB8
PET0544	9a	#4DAF4A
PET0545	9a	#4DAF4A
PET0546	9a	#4DAF4A
PET0547	9a	#377EB8
PET0548	9a	#377EB8
PET0549	9a	#E41A1C
PET0550	9a	#E41A1C
PET0552	9a	#E41A1C
PET0553	9a	#377EB8
PET0554	9a	#E41A1C
PET0555	9a	#377EB8
PET0556	9a	#377EB8
PET0557	9a	#4DAF4A
PET0558	9a	#377EB8
PET0559	9a	#E41A1C
PET0560	9a	#E41A1C
PET0561	9a	#E41A1C
PET0562	9a	#E41A1C
PET0563	9a	#E41A1C
PET0564	9a	#377EB8
PET0565	9a	#E41A1C
PET0566	9a	#E41A1C
PET0568	9a	#E41A1C
PET0569N	9a	#377EB8
PET0570	9a	#377EB8
PET0571	9a	#377EB8
PET0572	9a	#E41A1C
PET0573	9a	#377EB8
PET0574	9a	#4DAF4A
PET0575	9a	#4DAF4A
PET0576	9a	#4DAF4A
PET0578	9a	#4DAF4A
PET0579	9a	#E41A1C
PET0580	9a	#4DAF4A
PET0581	9a	#377EB8
PET0582	9a	#377EB8
PET0583	9a	#377EB8
PET0584	9a	#377EB8
PET0586	9a	#377EB8
PET0587	9a	#E41A1C
PET0588	9a	#377EB8
PET0589	9a	#377EB8
PET0590	9a	#377EB8
PET0591	9a	#377EB8
PET0592	9a	#E41A1C
PET0593	9a	#377EB8
PET0595	9a	#377EB8
PET0596	9a	#E41A1C
PET0597	9a	#377EB8
PET0598	9a	#4DAF4A
PET0599	9a	#4DAF4A
PET0600	9a	#E41A1C
PET0602	9a	#377EB8
PET0603	9a	#4DAF4A
PET0604	9a	#377EB8
PET0605	9a	#4DAF4A
PET0606	9a	#4DAF4A
PET0607	9a	#4DAF4A
PET0431	11b	#E41A1C
PET0432	11b	#E41A1C
PET0433	11b	#E41A1C
PET0434	11b	#E41A1C
PET0435	11b	#E41A1C
PET0436	11b	#E41A1C
PET0437	11b	#E41A1C
PET0438	11b	#E41A1C
PET0439	11b	#E41A1C
PET0440	11b	#E41A1C
PET0441	11b	#E41A1C
PET0442	11b	#E41A1C
PET0443	11b	#E41A1C
PET0444	11b	#E41A1C
PET0445	11b	#E41A1C
PET0446	11b	#E41A1C
PET0447	11b	#E41A1C
PET0448	11b	#E41A1C
PET0449	11b	#E41A1C
PET0450	11b	#E41A1C
PET0451	11b	#377EB8
PET0452	11b	#377EB8
PET0453N	11b	#377EB8
PET0454N	11b	#4DAF4A
PET0455	11b	#E41A1C
PET0456	11b	#377EB8
PET0457	11b	#4DAF4A
PET0458	11b	#E41A1C
PET0459N	11b	#4DAF4A
PET0460N	11b	#4DAF4A
PET0461	11b	#377EB8
PET0462	11b	#377EB8
PET0463	11b	#E41A1C
PET0464	11b	#E41A1C
PET0465	11b	#377EB8
PET0466	11b	#377EB8
PET0467	11b	#4DAF4A
PET0468	11b	#377EB8
PET0469	11b	#377EB8
PET0470	11b	#377EB8
PET0471	11b	#4DAF4A
PET0472	11b	#4DAF4A
PET0473N	11b	#377EB8
PET0474N	11b	#E41A1C
PET0475	11b	#377EB8
PET0476	11b	#377EB8
PET0477	11b	#4DAF4A
PET0478	11b	#4DAF4A
PET0479	11b	#377EB8
PET0480	11b	#377EB8
PET0481	11b	#4DAF4A
PET0482	11b	#4DAF4A
PET0483	11b	#377EB8
PET0484	11b	#E41A1C
PET0485	11b	#4DAF4A
PET0486	11b	#4DAF4A
PET0487	11b	#377EB8
PET0488	11b	#4DAF4A
PET0489	11b	#4DAF4A
PET0490	11b	#4DAF4A
PET0491	11b	#E41A1C
PET0492	11b	#377EB8
PET0493	11b	#377EB8
PET0494	11b	#E41A1C
PET0495	11b	#E41A1C
PET0496	11b	#E41A1C
PET0497	11b	#4DAF4A
PET0498	11b	#377EB8
PET0499	11b	#E41A1C
PET0500	11b	#E41A1C
PET0501	11b	#377EB8
PET0502	11b	#4DAF4A
PET0503	11b	#4DAF4A
PET0504	11b	#4DAF4A
PET0505	11b	#4DAF4A
PET0506	11b	#377EB8
PET0507	11b	#4DAF4A
PET0508	11b	#4DAF4A
PET0509	11b	#4DAF4A
PET0510	11b	#4DAF4A
