INDIVIDUAL	POPULATION_NAt	DTF	SLA
ANN1410	ANN_61	28	22.6206
ANN1411	ANN_62	85	16.47252673
ANN1412	ANN_62	83	15.37090144
ANN1413	ANN_62	98	19.17961352
ANN1414	ANN_62	83	14.10193604
ANN1415	ANN_62	92	16.29611923
ANN1416	ANN_62	76	26.15998598
ANN1417	ANN_62	83	17.09933227
ANN1418	ANN_62	92	10.79456177
ANN1419	ANN_62	75	18.12146797
ANN1420	ANN_62	99	16.30254501
ANN1421	ANN_63	94	12.46407121
ANN1422	ANN_63	96	19.06850445
ANN1423	ANN_63	NA	NA
ANN1424	ANN_63	100	12.0397931
ANN1425	ANN_63	107	16.54300693
ANN1426	ANN_63	99	23.12390697
ANN1427	ANN_63	91	19.91216217
ANN1428	ANN_63	94	14.58627029
ANN1429	ANN_63	93	12.9751001
ANN1430	ANN_63	99	14.3559895
ANN1431	ANN_64	69	12.86544746
ANN1432	ANN_64	99	11.30367918
ANN1433	ANN_64	100	14.98964074
ANN1434	ANN_64	93	9.584043293
ANN1435	ANN_64	97	10.33274367
ANN1436	ANN_64	95	15.40928276
ANN1437	ANN_64	104	15.26018983
ANN1438	ANN_64	102	17.90133972
ANN1439	ANN_64	97	16.57088652
ANN1440	ANN_64	97	12.85181519
ANN1441	ANN_65	73	18.17227394
ANN1442	ANN_65	68	16.29519676
ANN1443	ANN_65	58	20.16827521
ANN1444	ANN_65	64	18.66241975
ANN1445	ANN_65	68	14.06507617
ANN1446	ANN_65	70	13.23240935
ANN1447	ANN_65	65	20.76729017
ANN1448	ANN_65	96	16.14466821
ANN1449	ANN_65	64	20.36810026
ANN1450	ANN_65	58	19.53475165
ANN1451	ANN_66	43	NA
ANN1452	ANN_66	43	NA
ANN1453	ANN_66	41	25.49700847
ANN1454	ANN_66	38	24.79960058
ANN1455	ANN_66	37	49.37840761
ANN1456	ANN_66	37	20.87721033
ANN1457	ANN_66	37	33.06487024
ANN1458	ANN_66	47	17.48069397
ANN1459	ANN_66	46	17.91466347
ANN1460	ANN_66	47	14.44559979
ANN1461	ANN_67	103	13.30943455
ANN1462	ANN_67	103	15.73863255
ANN1463	ANN_67	103	13.71805297
ANN1464	ANN_67	103	15.21812827
ANN1465	ANN_67	105	18.47495173
ANN1466	ANN_67	79	13.02371073
ANN1467	ANN_67	105	14.4227593
ANN1468	ANN_67	106	15.76292846
ANN1469	ANN_67	97	20.86637089
ANN1470	ANN_67	107	13.77241945
ANN1471	ANN_68	47	25.48638471
ANN1472	ANN_68	47	19.17080773
ANN1473	ANN_68	52	21.79565868
ANN1474	ANN_68	51	22.49497894
ANN1475	ANN_68	51	16.59175759
ANN1476	ANN_68	43	18.83117877
ANN1477	ANN_68	46	20.5217451
ANN1478	ANN_68	43	17.68664128
ANN1479	ANN_68	46	25.45951183
ANN1480	ANN_68	49	20.98933573
ANN1481	ANN_69	71	18.85379235
ANN1482	ANN_69	65	17.15156641
ANN1483	ANN_69	68	15.14307319
ANN1484	ANN_69	49	19.56152517
ANN1485	ANN_69	46	17.89457243
ANN1486	ANN_69	69	21.46741769
ANN1487	ANN_69	54	15.09695363
ANN1488	ANN_69	44	14.75106902
ANN1489	ANN_69	61	23.31281668
ANN1490	ANN_69	62	18.27488353
ANN1491	ANN_70	90	17.24665025
ANN1492	ANN_70	78	19.69698035
ANN1493	ANN_70	78	21.09160944
